episode,reward,steps,loss
1,-500.0,500,7.040042085423895
2,-500.0,500,7.49755607676506
3,-500.0,500,8.983177159786225
4,-500.0,500,7.853826417446136
5,-500.0,500,6.720514844655991
6,-500.0,500,7.598757414340973
7,-500.0,500,6.449281690597534
8,-500.0,500,6.2181765060424805
9,-500.0,500,6.766521694660187
10,-500.0,500,6.482168839097023
11,-500.0,500,6.047362150907516
12,-500.0,500,7.434552237868309
13,-500.0,500,6.154990607023239
14,-500.0,500,6.303972365021705
15,-500.0,500,7.0067241398096085
16,-500.0,500,5.9748639633655545
17,-500.0,500,6.019239524722099
18,-500.0,500,5.667673166155815
19,-500.0,500,5.598650364756584
20,-500.0,500,5.727917461872101
21,-500.0,500,5.201487076163292
22,-500.0,500,4.760562620759011
23,-500.0,500,5.271632136940956
24,-500.0,500,4.8169903943538666
25,-474.0,475,4.6149535974703335
26,-500.0,500,4.590804049611092
27,-447.0,448,4.96034864529169
28,-500.0,500,4.566874003589153
29,-500.0,500,5.097980928659439
30,-500.0,500,5.086352291464806
31,-353.0,354,5.618704334322342
32,-500.0,500,5.173901546120644
33,-500.0,500,4.895088076233864
34,-428.0,429,5.101852242902164
35,-500.0,500,5.344726299285889
36,-500.0,500,5.232924641013145
37,-500.0,500,4.69962366259098
38,-500.0,500,5.331496439695358
39,-500.0,500,5.4128152685761455
40,-500.0,500,4.580820688605309
41,-500.0,500,5.191500751852989
42,-500.0,500,5.107804112076759
43,-346.0,347,5.111482285285202
44,-413.0,414,4.920697514993557
45,-437.0,438,4.774671895591092
46,-478.0,479,4.2523306081837555
47,-447.0,448,3.8629456787769283
48,-367.0,368,4.26340646782647
49,-362.0,363,4.180921975738746
50,-387.0,388,3.4800121996206106
51,-298.0,299,3.9940693137239056
52,-244.0,245,4.872591985488424
53,-323.0,324,4.029243178205726
54,-405.0,406,4.543360491985171
55,-404.0,405,4.27906608581543
56,-374.0,375,4.64341620349884
57,-367.0,368,4.495299433398506
58,-350.0,351,3.1978077898677597
59,-309.0,310,4.133427985252872
60,-500.0,500,4.6824384987354275
61,-346.0,347,4.901291937924256
62,-292.0,293,5.460240122808124
63,-326.0,327,5.225253669129234
64,-500.0,500,4.818877946138382
65,-282.0,283,4.251641130278894
66,-315.0,316,4.28617856849598
67,-324.0,325,4.061454144257765
68,-248.0,249,4.566650231200528
69,-500.0,500,4.1485504858493805
70,-292.0,293,3.721878124178473
71,-204.0,205,4.279805634661419
72,-337.0,338,4.324500853846059
73,-500.0,500,5.359729345798493
74,-220.0,221,4.805758086804351
75,-323.0,324,4.726929596912714
76,-200.0,201,4.745636977959628
77,-344.0,345,4.153821837729302
78,-333.0,334,3.9866469252609207
79,-365.0,366,4.32335801365597
80,-207.0,208,3.4829434348413577
81,-349.0,350,4.118704781191689
82,-257.0,258,3.673232008782468
83,-185.0,186,3.5755505888692793
84,-192.0,193,3.600819852685681
85,-345.0,346,3.5088750065406624
86,-212.0,213,2.557227995893765
87,-201.0,202,2.3689863731955536
88,-254.0,255,2.8978427559721704
89,-237.0,238,3.3189149308605352
90,-339.0,340,4.14927839847172
91,-254.0,255,3.644589767736547
92,-182.0,183,3.0997544794134755
93,-211.0,212,2.9739549137511343
94,-172.0,173,3.3410634308881155
95,-282.0,283,3.1858533966246427
96,-201.0,202,3.389168434804029
97,-500.0,500,3.3697751076221465
98,-298.0,299,3.1150353146237273
99,-158.0,159,3.310088523153989
100,-196.0,197,2.692007668429825
101,-301.0,302,2.7137241065502167
102,-182.0,183,3.049745063964135
103,-244.0,245,3.5142781045972082
104,-313.0,314,3.6408789548904275
105,-137.0,138,3.848588298196378
106,-231.0,232,2.9195118993520737
107,-222.0,223,2.691695638836232
108,-265.0,266,3.310316329163716
109,-268.0,269,3.5412620146478417
110,-222.0,223,3.542771125053611
111,-204.0,205,3.3349477512080496
112,-261.0,262,3.198091379558767
113,-177.0,178,2.727019269814652
114,-161.0,162,2.513587846800133
115,-261.0,262,2.7672570086162507
116,-278.0,279,3.264570810461557
117,-192.0,193,3.297357396758282
118,-206.0,207,2.9723696222051905
119,-210.0,211,2.994120476370174
120,-186.0,187,2.720318817837353
121,-153.0,154,3.013958581856319
122,-177.0,178,3.4937355156694907
123,-200.0,201,2.989065111573063
124,-206.0,207,2.534336900941416
125,-232.0,233,2.2280879368597857
126,-151.0,152,2.2358049126832107
127,-183.0,184,2.3371399550334266
128,-206.0,207,2.8671813270320063
129,-184.0,185,3.071255604963045
130,-196.0,197,3.328784677582949
131,-163.0,164,2.8591144441104515
132,-154.0,155,3.022706845498854
133,-229.0,230,2.872809176341347
134,-164.0,165,2.528641894730655
135,-173.0,174,2.971005722709086
136,-211.0,212,3.027286907974279
137,-285.0,286,2.9425252523872403
138,-140.0,141,2.95610603880375
139,-200.0,201,2.421298323282555
140,-167.0,168,2.605557673034214
141,-192.0,193,2.5847931661754076
142,-198.0,199,2.887242479539996
143,-168.0,169,2.6073008694592312
144,-172.0,173,2.717624687735056
145,-234.0,235,2.6810836345591444
146,-252.0,253,3.329059197497462
147,-163.0,164,3.5381057931155695
148,-231.0,232,3.6178431921991807
149,-187.0,188,3.0808131980135087
150,-212.0,213,2.7625766488867747
151,-242.0,243,2.3824025130075683
152,-173.0,174,2.1765695604784736
153,-149.0,150,2.4994236171245574
154,-165.0,166,2.2840268285159606
155,-168.0,169,2.5628543235141144
156,-150.0,151,2.670587196255362
157,-144.0,145,2.587947228037078
158,-145.0,146,2.784854078129546
159,-370.0,371,2.649785030723582
160,-152.0,153,2.356989533293481
161,-202.0,203,2.247663238659281
162,-147.0,148,2.5312080826308274
163,-152.0,153,2.4626674901426227
164,-160.0,161,2.4061370728919225
165,-136.0,137,2.3192102726358566
166,-137.0,138,2.308089522347934
167,-180.0,181,2.631378675034033
168,-172.0,173,2.295741783056645
169,-193.0,194,2.171189411706531
170,-205.0,206,2.199606297953615
171,-167.0,168,2.204185324055808
172,-231.0,232,2.399290166538337
173,-170.0,171,2.248042974207136
174,-136.0,137,2.239188511876294
175,-202.0,203,2.321332519571182
176,-147.0,148,1.9182217825908918
177,-142.0,143,1.770473145521604
178,-168.0,169,1.5470051525612554
179,-127.0,128,1.3609299203380942
180,-176.0,177,1.3496079199058189
181,-133.0,134,1.5349829374854245
182,-104.0,105,2.0513995573634194
183,-201.0,202,2.636729911707415
184,-175.0,176,2.774731492793018
185,-197.0,198,2.9976396313821425
186,-159.0,160,2.5038943227380512
187,-169.0,170,2.5332887796794665
188,-180.0,181,2.7369354337618494
189,-176.0,177,2.558692712568294
190,-171.0,172,2.6982491494611254
191,-145.0,146,2.2195992037041545
192,-224.0,225,1.9999643029106988
193,-210.0,211,2.141909120207149
194,-203.0,204,2.624921318362741
195,-168.0,169,2.143229566029543
196,-122.0,123,2.1067400322697027
197,-205.0,206,1.89605117509666
198,-139.0,140,2.031757129090173
199,-159.0,160,1.845146457478404
200,-172.0,173,1.850397734283712
201,-120.0,121,2.1565026261589746
202,-141.0,142,2.260455088716158
203,-109.0,110,1.9926444736394016
204,-174.0,175,1.9886416591916765
205,-114.0,115,2.094649412839309
206,-143.0,144,2.100010647955868
207,-233.0,234,2.2714222710356755
208,-181.0,182,2.242734441062906
209,-146.0,147,2.544097534653281
210,-199.0,200,2.5145921421051027
211,-172.0,173,1.9984885126869114
212,-118.0,119,2.0696918718955097
213,-110.0,111,1.9844612237569448
214,-152.0,153,1.9997797814849156
215,-119.0,120,1.952119875450929
216,-215.0,216,2.250847225939786
217,-152.0,153,2.115746670688679
218,-132.0,133,1.8760492245953782
219,-107.0,108,1.8483823543345486
220,-161.0,162,1.6144543595520067
221,-169.0,170,1.6852413188008701
222,-139.0,140,1.7918847411870957
223,-178.0,179,1.881956922275394
224,-107.0,108,1.7256035771634843
225,-141.0,142,2.058636794207801
226,-133.0,134,2.2846047833784304
227,-132.0,133,2.1775845665680733
228,-142.0,143,1.9825234492341954
229,-130.0,131,2.1832157364328397
