episode,reward,steps,loss
1,-500.0,500,3.465621456265177
2,-500.0,500,5.0947013545036315
3,-500.0,500,4.906215349674225
4,-500.0,500,5.989685804963112
5,-500.0,500,5.40014071905613
6,-500.0,500,4.7641552292108535
7,-500.0,500,5.093219467759132
8,-500.0,500,5.47025245654583
9,-399.0,400,5.254790430814028
10,-500.0,500,5.4454880656003954
11,-500.0,500,4.886986946344376
12,-500.0,500,5.073555116176605
13,-500.0,500,4.82728990983963
14,-500.0,500,4.105382878601551
15,-472.0,473,4.861253560156449
16,-500.0,500,4.988778923511505
17,-500.0,500,4.64846008849144
18,-500.0,500,5.025986959576607
19,-500.0,500,4.543290552139283
20,-500.0,500,4.8579915883541105
21,-427.0,428,4.131589346260668
22,-468.0,469,4.471832200408236
23,-500.0,500,4.907764704823494
24,-500.0,500,5.451479072570801
25,-365.0,366,4.330077431322447
26,-239.0,240,4.5545311406254765
27,-500.0,500,5.331130595684051
28,-500.0,500,4.249007068157196
29,-461.0,462,4.5486065537640545
30,-500.0,500,4.78117008793354
31,-405.0,406,2.9503578832143633
32,-328.0,329,3.048812763216285
33,-469.0,470,4.240640861049611
34,-500.0,500,3.8403822536468506
35,-289.0,290,4.671222958893612
36,-377.0,378,4.345375233384036
37,-500.0,500,3.422790322422981
38,-365.0,366,4.073997752588303
39,-407.0,408,4.164701593418916
40,-500.0,500,3.764751572728157
41,-287.0,288,2.454928535140223
42,-500.0,500,3.656756738960743
43,-500.0,500,3.247493268728256
44,-467.0,468,3.779467162795556
45,-448.0,449,3.071509082492582
46,-456.0,457,2.4643192720361036
47,-500.0,500,4.084024927020073
48,-409.0,410,3.7243174774617684
49,-238.0,239,3.4602141150869583
50,-469.0,470,2.989800444308748
51,-235.0,236,4.296991396758516
52,-415.0,416,3.8132640815411625
53,-275.0,276,4.632412984967232
54,-421.0,422,4.027868483303847
55,-245.0,246,3.1880689348147166
56,-223.0,224,3.2016114057706937
57,-324.0,325,4.018725336148188
58,-399.0,400,3.4520088970661162
59,-360.0,361,3.200323915052282
60,-408.0,409,3.523395345380079
61,-350.0,351,3.4396831113049107
62,-263.0,264,3.920959648760882
63,-314.0,315,2.81648180011719
64,-356.0,357,3.13396288166527
65,-284.0,285,4.578324196840588
66,-242.0,243,4.9071883237901535
67,-334.0,335,4.222948569148334
68,-268.0,269,3.1258140301615773
69,-312.0,313,4.88816390936367
70,-290.0,291,3.58418300000253
71,-154.0,155,3.3513229331662577
72,-347.0,348,3.4742179523254264
73,-279.0,280,2.6322536342910356
74,-263.0,264,3.4861103585272124
75,-373.0,374,3.2477891110481427
76,-379.0,380,3.4587391655696065
77,-253.0,254,3.3323406659242676
78,-257.0,258,3.264736704817114
79,-342.0,343,4.4121593568832465
80,-264.0,265,3.8856253041411346
81,-177.0,178,2.930188878868403
82,-287.0,288,3.09386730980542
83,-419.0,420,3.0852047687485102
84,-402.0,403,2.3948801062243157
85,-272.0,273,3.003335402998732
86,-230.0,231,2.6402718024852474
87,-229.0,230,2.1943559107573134
88,-248.0,249,2.3528077607173996
89,-133.0,134,2.7459690312841047
90,-194.0,195,4.54178792268802
91,-280.0,281,2.9736077176718525
92,-308.0,309,3.3461347519386933
93,-227.0,228,3.7068882838153003
94,-203.0,204,3.4927281269840167
95,-316.0,317,3.055837559775223
96,-240.0,241,3.2033524149681027
97,-225.0,226,3.093214165320439
98,-252.0,253,3.490218153584145
99,-251.0,252,2.4990665028019556
100,-268.0,269,1.8516951746213834
101,-208.0,209,2.380599381250628
102,-197.0,198,3.3423466477731263
103,-303.0,304,2.602474182844162
104,-215.0,216,2.6931525375004166
105,-276.0,277,2.954590333067553
106,-276.0,277,3.6687423881640933
107,-164.0,165,4.399189129020229
108,-203.0,204,2.8926328680678908
109,-200.0,201,2.7658386301638473
110,-269.0,270,3.0520418284115967
111,-179.0,180,2.0465186910496818
112,-186.0,187,2.289688363750988
113,-276.0,277,2.3502370252505966
114,-194.0,195,1.3614403756765219
115,-204.0,205,1.7618114890121832
116,-233.0,234,3.414322859201676
117,-204.0,205,5.481638822322939
118,-250.0,251,3.4786982716792134
119,-128.0,129,3.229667828988659
120,-171.0,172,3.260871356656385
121,-253.0,254,2.850871715020007
122,-147.0,148,2.648927315264135
123,-207.0,208,2.908112766364446
124,-166.0,167,2.9117083513808106
125,-174.0,175,3.216673437527248
126,-200.0,201,3.0819587915097895
127,-184.0,185,3.4622464792148486
128,-166.0,167,2.6469581162858153
129,-192.0,193,2.6560971440428895
130,-182.0,183,3.1647524814136694
131,-205.0,206,3.1280305987422907
132,-171.0,172,3.7166876491419103
133,-205.0,206,4.160557259633703
134,-198.0,199,3.590375431218938
135,-369.0,370,4.591325526624113
136,-172.0,173,3.0077750245270702
137,-235.0,236,3.0214359684515806
138,-211.0,212,2.72310926694915
139,-248.0,249,3.0559573163947906
140,-204.0,205,2.6221054894168203
141,-167.0,168,2.668912339423384
142,-136.0,137,2.326675708276512
143,-135.0,136,2.242765658918549
144,-286.0,287,1.788678821370992
145,-195.0,196,1.8509473682058102
146,-182.0,183,2.6923451039309056
147,-163.0,164,3.1197712210620323
148,-214.0,215,3.0857042318166688
149,-197.0,198,2.9310507774353027
150,-157.0,158,3.430428778823418
151,-186.0,187,3.5628182237798516
152,-157.0,158,2.9473837033102783
153,-212.0,213,2.501605776274148
154,-183.0,184,3.084913306910059
155,-204.0,205,2.7351931505086946
156,-134.0,135,3.401119426444725
157,-232.0,233,3.3070670883031363
158,-226.0,227,2.680287451996152
159,-126.0,127,3.968581775042016
160,-150.0,151,2.502370974480711
161,-161.0,162,2.0293185541659224
162,-153.0,154,2.2710844417671106
163,-127.0,128,2.032928873319179
164,-162.0,163,2.0537175591006602
165,-122.0,123,1.6650564937087577
166,-168.0,169,2.116802570382519
167,-139.0,140,2.036000268799918
168,-159.0,160,2.1317691653966904
169,-163.0,164,2.468789540412949
170,-203.0,204,2.893051586022564
171,-154.0,155,2.5935984988366405
172,-142.0,143,2.5143538480038408
173,-168.0,169,2.4491086083756395
174,-153.0,154,3.193180231304912
175,-134.0,135,2.0075180927912393
176,-130.0,131,1.7147738924463287
177,-126.0,127,1.7206577480308654
178,-152.0,153,1.9621852114309672
179,-170.0,171,2.081540520776782
180,-212.0,213,3.4066456312864597
181,-248.0,249,3.329027019351362
182,-163.0,164,3.4130323143993935
183,-243.0,244,2.97398269518477
184,-305.0,306,2.089142423829222
185,-135.0,136,1.9803569899762379
186,-222.0,223,2.9953103316739003
187,-139.0,140,2.7976224792855127
188,-183.0,184,2.161858027719933
189,-89.0,90,1.9522230585416158
190,-178.0,179,1.7577637816940606
191,-164.0,165,1.757118071570541
192,-169.0,170,2.540428778003244
193,-112.0,113,2.0214819739350176
194,-122.0,123,2.057301068209051
195,-127.0,128,2.414544405415654
196,-117.0,118,2.63706441551952
197,-130.0,131,1.8845856462726156
198,-111.0,112,2.0029410932745253
199,-101.0,102,2.648000631846634
200,-172.0,173,1.9309740111317937
